8,8,32,32,8,16
1,3,0,0,0,0,0,0
3,3,0,3,3,3,3,0
0,3,3,3,0,0,3,0
0,3,0,3,0,0,3,0
0,3,0,3,3,0,3,0
0,3,0,0,0,0,3,0
0,3,3,3,0,0,3,0
0,0,0,0,0,0,0,0

0,0,3,3,3,3,3,0
0,0,3,0,0,0,0,0
3,0,0,0,3,3,0,0
3,0,3,0,3,3,0,0
3,0,3,0,0,3,0,0
3,0,3,3,3,3,0,0
3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0

0,0,3,3,3,3,3,0
0,0,3,0,0,3,0,3
3,0,0,3,0,0,3,3
3,0,3,0,3,0,3,3
3,0,0,3,0,0,3,3
3,0,0,0,3,0,0,0
3,0,0,0,0,0,3,0
3,0,0,0,0,0,0,0

3,3,3,3,3,0,0,3
3,3,3,0,0,0,0,0
3,3,3,0,3,3,0,0
3,0,3,3,3,0,0,0
3,0,3,3,3,0,3,0
3,0,0,3,3,0,3,3
0,3,3,3,0,3,3,3
0,0,3,3,0,3,3,3

3,0,3,0,0,0,0,3
3,0,0,0,0,0,0,3
3,3,3,0,3,3,3,0
3,0,0,0,3,0,3,0
3,0,3,3,3,3,3,3
3,0,0,3,3,3,0,3
3,3,0,0,0,0,0,3
3,3,3,3,3,3,3,3

3,3,3,3,0,0,3,3
0,0,0,3,0,0,0,0
3,0,0,0,3,3,0,0
3,3,3,0,3,0,3,0
0,0,0,3,3,3,3,0
3,3,3,0,0,0,0,0
3,0,0,3,3,0,3,3
3,3,3,3,3,0,3,3

3,3,3,3,3,0,3,3
3,0,3,0,0,3,3,0
3,3,0,0,0,3,3,3
3,3,0,0,3,2,3,3
3,0,0,0,0,3,0,3
3,0,0,3,3,3,0,0
3,0,3,3,0,3,3,0
3,3,0,3,3,3,3,3

3,3,3,3,0,3,3,3
3,0,0,3,3,0,0,0
3,3,3,0,3,3,3,0
3,0,0,3,3,0,3,0
0,0,0,3,3,3,3,0
0,3,0,0,0,3,0,0
3,0,3,0,0,0,3,3
3,3,0,3,3,0,3,3

